time;time;MB;recall;ratio;HDFS write(byte);outpoutrecords intermediate;hdfs-b1;hdfs-b2;hdfs-b3;o-r 1;;;
0.125;3.84;230541.00;;;;1.102489072;;3382392.00;1843318.00;4739920.00;;;;
0.25;2.76;165432.00;8.952888489;;;1.022084765;;6157392.00;3437719.00;9387784.00;;;;
0.5;2.96;177473;18.97375107;0.915867;1;0.993034628;0;12654060;7102781;19895420;0;;;
1;3.21;192528;40.41453552;0.9260367;1;0.943072623;0;26154060;13811200;42377712;0;;;
2;3.59;215666;83.29262352;0.91286564;1;0.91824721;0;53154060;27044408;87338646;0;;;
4;6.92;415323;168.8703508;0.908296;1;0.90518264;0;107154060;53129705;177073397;0;;;0h6min55sec
8;8.35;500946;341.3716612;0.8910962;1;0.893063329;0;215688300;103987408;357954131;0;;;
16;12.09;725281;711.373908;0.86;1;0.856097575;0;441288300;197300228;745929607;0;;;0h12min5se
32;19.06;1143513;1450.102208;;1;0.830492622;83207166;892488300;370310922;1520542373;0;19207166;64000000;19min
64;36.14;2168647;2922.66368;;1;0.812818598;512015320;1794888300;696104017;3064634991;0;384015320;128000000;36min8sec
96;51.96;3117425;4394.555182;;;0.800384449;0;2697288300;990903326;4608025094;;;;51min
128;71.67;4300367;5869.106436;;1;0.796179156;1024017200;3599688300;1300160767;6154204150;0;768017200;256000000;"1h11min40sec;"
256;144.19;8651447;11775.64654;;;0.806794952;2048017520;7209288300;2752741735;12347660342;0;1536017520;512000000;";2h24min11sec;"
