t;time(min);time;;ratio;HDFS write(byte);tps;;;
0.125;12.50;149064.00;;0.59;0.36;;571009;1144703;4736716
0.25;25.00;107937.00;0.62;0.75;0.47;;986721;2849322;8136045
0.5;50.00;166237.00;0.73;0.78;0.42;0h2min46sec;1957811;6016743;18943585
1;100.00;176606.00;0.74;0.79;0.43;0h2min56sec;3600020;13924189;40997423
2;200.00;198922.00;0.69;0.73;0.43;0h3min18sec;7693572;25366924;77534484
4;400.00;256391.00;0.73;0.84;0.40;0h4min16sec;14054572;58602115;180223107
8;800.00;351537.00;0.80;0.86;0.40;0h5min51sec;27196263;124085270;376631191
16;1600.0;567310.00;0.83;0.91;0.38;0h9min27sec;54131193;260351463;821227337
32;3200.00;1082545.00;;0.92;0.39;0h18min2sec;102410666;554645094;1702400557
64;6400.00;2645924.00;;0.96;0.38;0h44min;195215896;1152977346;3555595731
96;9600.00;6124498.00;;0.98;0.36;;295581627;1688675977;5459323408
128;12800.00;11121603.00;;0.99;0.38;3h5min21sec;375763285;2401384249;7335551903
